countystate,fips,US regions,PacificCoast,MountainsPlains,South,Midwest,Northeast,Population,PercentFemale,PercentWhite,PercentAfricanAmerican,PercentNativeAmerican,PercentAsian,PercentHawaianPI,PercentTwoorMore,PercentHispanic,Percent White Not Hispanic,Percent foreign born,PercentLangDiffEnglish,Bachlorsorhigher,HighSchoolGrad,HomeOwnership,PersonsPerHouse,IncomeperCapita,PercentBelowPoverty,PopPerSqMile,Clinton,Trump
Autauga County AL,1001,3,0,0,1,0,0,41435.46,51.4,77.9,18.7,0.5,1.1,0.1,1.8,2.7,75.6,1.6,3.5,20.9,64.7,76.8,2.71,24571,12.1,91.8,0.23956855,0.734357893
Baldwin County AL,1003,3,0,0,1,0,0,155686.358,51.2,87.1,9.6,0.7,0.9,0.1,1.6,4.6,83,3.6,5.5,27.7,61.4,72.6,2.52,26766,13.9,114.6,0.195653098,0.77351472
Barbour County AL,1005,3,0,0,1,0,0,21186.956,46.6,50.2,47.6,0.6,0.5,0.2,0.9,4.5,46.6,2.9,5,13.4,60.3,67.7,2.66,16829,26.7,31,0.466602502,0.522714148
Bibb County AL,1007,3,0,0,1,0,0,17779.74,45.9,76.3,22.1,0.4,0.2,0.1,0.9,2.1,74.5,1.2,2.1,12.1,65.4,79,3.03,17427,18.1,36.8,0.214220393,0.769661637
Blount County AL,1009,3,0,0,1,0,0,44097.316,50.5,96,1.8,0.6,0.3,0.1,1.2,8.7,87.8,4.3,7.3,12.1,64.9,81,2.7,20730,15.8,88.9,0.084699023,0.898518752
Bullock County AL,1011,3,0,0,1,0,0,8460.504,45.3,26.9,70.1,0.8,0.3,0.7,1.1,7.5,22.1,5.4,5.2,12.5,55.3,74.3,2.73,18628,21.6,17.5,0.750904063,0.242288875
Butler County AL,1013,3,0,0,1,0,0,15506.144,53.6,53.9,44,0.4,0.9,0,0.8,1.2,53.1,0.8,1.7,14,62.3,70.3,2.47,17403,28.4,27,0.427864134,0.563154865
Calhoun County AL,1015,3,0,0,1,0,0,90182.648,51.8,75.8,21.1,0.5,0.9,0.1,1.7,3.5,72.9,2.4,4.5,16.1,62.5,68.7,2.54,20828,21.9,195.7,0.278558764,0.692396994
Chambers County AL,1017,3,0,0,1,0,0,26783.736,52.3,58.3,39.5,0.3,0.8,0.1,1.1,2,56.8,1.1,1.3,11.8,63.3,67.9,2.46,19291,24.1,57.4,0.418275512,0.56633764
Cherokee County AL,1019,3,0,0,1,0,0,20725.452,50.2,93,4.6,0.5,0.3,0,1.6,1.5,91.6,0.7,1.1,12.8,65.5,76.1,2.2,22030,21.2,46.9,0.1451014,0.838712749
Chilton County AL,1021,3,0,0,1,0,0,33299.698,50.8,87.1,10.6,0.5,0.4,0.2,1.2,7.7,80.3,5.2,7.4,12.9,63.1,74.5,2.67,20701,19.5,63,0.159353602,0.825417694
Choctaw County AL,1023,3,0,0,1,0,0,10578.462,52.5,56.6,42.4,0.2,0.3,0,0.5,0.8,56.1,0.3,1.3,11.8,63.4,83.7,2.45,20323,21.5,15.2,0.427765548,0.564391855
Clarke County AL,1025,3,0,0,1,0,0,19307.43,52.8,54,44.2,0.4,0.5,0,0.8,1.3,53.1,0.3,1.3,11.2,67.1,72.9,2.63,18979,29.3,20.9,0.441558442,0.549551639
Clay County AL,1027,3,0,0,1,0,0,10624.768,50.6,82.8,14.5,0.6,0.3,0,1.8,3.4,79.7,2.2,3.3,9.2,67.3,75,2.38,18694,19,23.1,0.187766281,0.795800365
Cleburne County AL,1029,3,0,0,1,0,0,11566.36,50.4,94.5,3.6,0.4,0.2,0.1,1.2,2.5,92.3,1.5,2.3,9,67,77.6,2.64,19108,18.4,26.7,0.104715248,0.878444581
Coffee County AL,1031,3,0,0,1,0,0,38843.567,50.5,76.4,17.7,1.4,1.6,0.4,2.5,6.4,71.3,5.1,7.5,22.5,59.9,69.9,2.65,23380,18.6,73.6,0.204455711,0.771462
Colbert County AL,1033,3,0,0,1,0,0,42707.169,51.8,80.8,16.3,0.6,0.5,0.1,1.7,2.6,78.8,2,2.6,17.7,65.8,72.1,2.42,21572,17.9,91.8,0.296272233,0.678875985
Conecuh County AL,1035,3,0,0,1,0,0,9958.62,51.9,52.1,46.2,0.4,0.1,0,1.2,1.8,51.1,0.6,2.2,8.8,68.5,79.1,2.61,15605,32.7,15.6,0.469050894,0.521626165
Coosa County AL,1037,3,0,0,1,0,0,8893.862,49.5,66.1,31.8,0.6,0.2,0.2,1.2,2.3,64.8,1.8,3.3,9.8,65.2,83,2.42,18493,20.9,17.7,0.340800306,0.646371817
Covington County AL,1039,3,0,0,1,0,0,29535.006,51.6,84.3,13,0.6,0.5,0,1.6,1.6,83.1,1.4,2.1,14.2,64.2,75.1,2.48,20391,20,36.6,0.15039828,0.835883171
Crenshaw County AL,1041,3,0,0,1,0,0,10804.221,51.1,72,24,0.5,1.8,0.1,1.6,1.7,70.6,2.3,3.2,12.7,64,69.9,2.46,21343,19.1,22.8,0.265994882,0.721529111
Cullman County AL,1043,3,0,0,1,0,0,62998.975,50.5,96.2,1.4,0.6,0.5,0,1.2,4.4,92.1,3,4.6,14.8,65,75,2.53,20760,18.8,109.4,0.100059016,0.878105049
Dale County AL,1045,3,0,0,1,0,0,37805.776,50.5,75.2,19.7,0.8,1.3,0.1,2.8,6.1,70.2,3.7,6.3,17,67.1,61.1,2.52,22685,17.4,89.6,0.236772842,0.741150561
Dallas County AL,1047,3,0,0,1,0,0,31199.828,53.7,29,69.5,0.2,0.5,0,0.7,1,28.5,0.8,1.3,14.2,63.3,60.9,2.63,17245,35.5,44.8,0.684783769,0.308809397
